
"KS201UK - Ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 28 May 2016]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"

"Area","mnemonic","White","Gypsy / Traveller / Irish Traveller","Mixed / Multiple ethnic group","Asian / Asian British: Indian","Asian / Asian British: Pakistani","Asian / Asian British: Bangladeshi","Asian / Asian British: Chinese","Asian / Asian British: Other Asian","Black / African / Caribbean / Black British","Other Ethnic Group"
"ualad09:Halton","E06000006",97.8,0.0,1.1,0.2,0.0,0.0,0.2,0.2,0.2,0.1
"ualad09:Warrington","E06000007",95.9,0.0,1.1,0.9,0.6,0.1,0.4,0.5,0.3,0.2
"ualad09:Allerdale","E07000026",98.9,0.0,0.4,0.1,0.0,0.1,0.1,0.2,0.1,0.1
"ualad09:Barrow-in-Furness","E07000027",98.3,0.1,0.5,0.2,0.1,0.1,0.3,0.3,0.1,0.1
"ualad09:Carlisle","E07000028",97.9,0.2,0.5,0.3,0.1,0.2,0.3,0.3,0.1,0.1
"ualad09:Copeland","E07000029",98.4,0.0,0.5,0.2,0.1,0.1,0.2,0.3,0.1,0.1
"ualad09:Eden","E07000030",98.9,0.0,0.4,0.1,0.0,0.1,0.2,0.2,0.0,0.1
"ualad09:South Lakeland","E07000031",98.3,0.0,0.6,0.2,0.0,0.1,0.3,0.2,0.2,0.1
"ualad09:Bolton","E08000001",81.8,0.1,1.8,7.8,4.3,0.2,0.5,1.1,1.7,0.7
"ualad09:Bury","E08000002",89.1,0.0,1.8,0.7,4.9,0.2,0.6,0.9,1.0,0.7
"ualad09:Manchester","E08000003",66.5,0.1,4.6,2.3,8.5,1.3,2.7,2.3,8.6,3.1
"ualad09:Oldham","E08000004",77.5,0.0,1.8,0.7,10.1,7.3,0.3,0.8,1.2,0.2
"ualad09:Rochdale","E08000005",81.6,0.1,1.7,0.5,10.5,2.1,0.4,1.4,1.3,0.4
"ualad09:Salford","E08000006",90.1,0.1,2.0,1.1,0.8,0.3,1.1,0.8,2.8,1.1
"ualad09:Stockport","E08000007",92.1,0.0,1.8,1.0,2.4,0.2,0.6,0.7,0.7,0.6
"ualad09:Tameside","E08000008",90.9,0.0,1.4,1.7,2.2,2.0,0.4,0.3,0.8,0.2
"ualad09:Trafford","E08000009",85.5,0.0,2.7,2.8,3.1,0.2,1.0,0.9,2.9,1.0
"ualad09:Wigan","E08000010",97.2,0.0,0.9,0.3,0.2,0.0,0.3,0.3,0.5,0.2
"ualad09:Burnley","E07000117",87.3,0.0,1.1,0.4,6.8,2.8,0.3,0.8,0.2,0.3
"ualad09:Chorley","E07000118",96.8,0.1,0.9,0.6,0.5,0.1,0.2,0.2,0.4,0.2
"ualad09:Fylde","E07000119",97.5,0.0,1.0,0.4,0.2,0.0,0.3,0.3,0.2,0.2
"ualad09:Hyndburn","E07000120",87.5,0.1,0.9,0.3,9.3,0.5,0.3,0.6,0.1,0.2
"ualad09:Lancaster","E07000121",95.4,0.2,1.0,0.9,0.3,0.2,0.9,0.4,0.5,0.2
"ualad09:Pendle","E07000122",79.8,0.0,1.1,0.3,17.1,0.4,0.3,0.7,0.1,0.2
"ualad09:Preston","E07000123",80.1,0.1,2.4,10.3,3.2,0.3,0.9,0.9,1.2,0.8
"ualad09:Ribble Valley","E07000124",97.8,0.0,0.6,0.4,0.5,0.1,0.2,0.2,0.2,0.1
"ualad09:Rossendale","E07000125",93.7,0.1,0.9,0.3,1.7,2.4,0.3,0.3,0.2,0.1
"ualad09:South Ribble","E07000126",97.0,0.0,1.1,0.7,0.2,0.0,0.3,0.2,0.2,0.1
"ualad09:West Lancashire","E07000127",98.1,0.0,0.8,0.4,0.1,0.0,0.2,0.2,0.2,0.1
"ualad09:Wyre","E07000128",98.2,0.1,0.6,0.2,0.1,0.1,0.3,0.3,0.1,0.1
"ualad09:Knowsley","E08000011",97.2,0.0,1.3,0.3,0.1,0.0,0.3,0.3,0.3,0.1
"ualad09:Liverpool","E08000012",88.9,0.0,2.5,1.1,0.4,0.2,1.7,0.7,2.6,1.8
"ualad09:Sefton","E08000014",97.4,0.0,1.0,0.2,0.0,0.1,0.4,0.2,0.3,0.3
"ualad09:St. Helens","E08000013",98.0,0.0,0.7,0.3,0.1,0.1,0.3,0.3,0.1,0.1
"ualad09:Wirral","E08000015",97.0,0.0,1.0,0.4,0.1,0.3,0.5,0.3,0.2,0.2
"ualad09:East Riding of Yorkshire","E06000011",98.0,0.1,0.7,0.3,0.1,0.0,0.2,0.2,0.2,0.2
"ualad09:Kingston upon Hull, City of","E06000010",94.0,0.1,1.3,0.4,0.3,0.3,0.8,0.6,1.2,0.8
"ualad09:North East Lincolnshire","E06000012",97.4,0.0,0.7,0.3,0.1,0.2,0.4,0.3,0.3,0.3
"ualad09:North Lincolnshire","E06000013",95.9,0.1,0.7,0.7,0.5,0.9,0.3,0.4,0.3,0.2
"ualad09:York","E06000014",94.1,0.1,1.2,0.8,0.2,0.2,1.2,1.0,0.6,0.5
"ualad09:Craven","E07000163",97.3,0.1,0.7,0.3,0.9,0.1,0.2,0.3,0.1,0.1
"ualad09:Hambleton","E07000164",98.2,0.1,0.7,0.2,0.1,0.0,0.1,0.2,0.2,0.1
"ualad09:Harrogate","E07000165",96.3,0.1,1.1,0.4,0.1,0.0,0.6,0.5,0.7,0.3
"ualad09:Richmondshire","E07000166",95.3,0.0,1.0,0.1,0.1,0.0,0.2,2.0,1.0,0.3
"ualad09:Ryedale","E07000167",98.5,0.2,0.6,0.1,0.0,0.0,0.2,0.3,0.2,0.1
"ualad09:Scarborough","E07000168",97.5,0.0,0.8,0.4,0.2,0.1,0.3,0.4,0.2,0.2
"ualad09:Selby","E07000169",98.2,0.2,0.8,0.2,0.0,0.0,0.2,0.2,0.3,0.0
"ualad09:Barnsley","E08000016",97.8,0.1,0.7,0.2,0.1,0.0,0.2,0.2,0.5,0.2
"ualad09:Doncaster","E08000017",95.1,0.2,1.1,0.6,0.9,0.0,0.4,0.6,0.8,0.4
"ualad09:Rotherham","E08000018",93.5,0.0,1.0,0.4,3.0,0.0,0.2,0.5,0.8,0.5
"ualad09:Sheffield","E08000019",83.6,0.1,2.4,1.1,4.0,0.6,1.3,1.0,3.6,2.2
"ualad09:Bradford","E08000032",67.4,0.1,2.5,2.6,20.4,1.9,0.4,1.5,1.8,1.5
"ualad09:Calderdale","E08000033",89.6,0.0,1.4,0.6,6.8,0.3,0.2,0.4,0.4,0.2
"ualad09:Kirklees","E08000034",79.1,0.0,2.3,4.9,9.9,0.2,0.3,0.7,1.9,0.6
"ualad09:Leeds","E08000035",85.0,0.1,2.6,2.1,3.0,0.6,0.8,1.2,3.4,1.1
"ualad09:Wakefield","E08000036",95.3,0.1,0.9,0.5,1.5,0.0,0.3,0.4,0.8,0.3
"ualad09:Derby","E06000015",80.2,0.1,2.9,4.4,5.9,0.3,0.5,1.5,2.9,1.3
"ualad09:Leicester","E06000016",50.4,0.1,3.5,28.3,2.4,1.1,1.3,4.0,6.2,2.6
"ualad09:Nottingham","E06000018",71.4,0.1,6.6,3.2,5.5,0.3,2.0,2.1,7.3,1.5
"ualad09:Rutland","E06000017",97.0,0.2,1.0,0.3,0.1,0.0,0.3,0.2,0.7,0.2
"ualad09:Amber Valley","E07000032",98.1,0.0,0.8,0.3,0.1,0.0,0.2,0.2,0.2,0.1
"ualad09:Bolsover","E07000033",98.0,0.1,0.7,0.3,0.1,0.0,0.2,0.2,0.4,0.0
"ualad09:Chesterfield","E07000034",96.5,0.0,1.1,0.5,0.3,0.1,0.4,0.3,0.8,0.1
"ualad09:Derbyshire Dales","E07000035",98.6,0.0,0.7,0.1,0.1,0.0,0.1,0.2,0.1,0.1
"ualad09:Erewash","E07000036",97.0,0.0,1.1,0.7,0.1,0.0,0.2,0.2,0.5,0.1
"ualad09:High Peak","E07000037",97.9,0.0,1.0,0.2,0.1,0.0,0.3,0.3,0.2,0.1
"ualad09:North East Derbyshire","E07000038",98.0,0.1,0.8,0.4,0.1,0.0,0.2,0.1,0.2,0.1
"ualad09:South Derbyshire","E07000039",95.6,0.1,1.1,1.7,0.2,0.0,0.2,0.3,0.4,0.2
"ualad09:Blaby","E07000129",90.9,0.1,1.6,4.7,0.3,0.0,0.5,0.6,1.0,0.4
"ualad09:Charnwood","E07000130",87.3,0.0,1.6,6.2,0.3,1.2,1.2,0.9,0.8,0.6
"ualad09:Harborough","E07000131",95.2,0.1,1.1,2.2,0.2,0.1,0.3,0.4,0.4,0.2
"ualad09:Hinckley and Bosworth","E07000132",96.4,0.1,1.0,1.3,0.2,0.1,0.3,0.3,0.2,0.2
"ualad09:Melton","E07000133",97.9,0.0,0.8,0.5,0.0,0.0,0.2,0.3,0.2,0.1
"ualad09:North West Leicestershire","E07000134",97.5,0.1,0.9,0.6,0.0,0.0,0.2,0.3,0.2,0.1
"ualad09:Oadby and Wigston","E07000135",73.0,0.0,2.1,17.7,1.9,0.2,0.6,1.9,1.2,1.4
"ualad09:Boston","E07000136",96.7,0.1,1.0,0.6,0.2,0.1,0.2,0.3,0.4,0.3
"ualad09:East Lindsey","E07000137",98.4,0.0,0.7,0.2,0.0,0.1,0.1,0.1,0.2,0.1
"ualad09:Lincoln","E07000138",95.5,0.1,1.3,0.6,0.1,0.1,0.5,0.6,0.8,0.4
"ualad09:North Kesteven","E07000139",98.1,0.1,0.7,0.2,0.0,0.1,0.2,0.2,0.2,0.1
"ualad09:South Holland","E07000140",97.7,0.1,0.9,0.3,0.1,0.1,0.2,0.2,0.3,0.1
"ualad09:South Kesteven","E07000141",97.4,0.1,0.9,0.4,0.1,0.0,0.3,0.4,0.4,0.1
"ualad09:West Lindsey","E07000142",98.0,0.2,0.7,0.4,0.1,0.0,0.1,0.2,0.3,0.1
"ualad09:Corby","E07000150",95.5,0.0,1.4,0.6,0.1,0.2,0.2,0.3,1.6,0.2
"ualad09:Daventry","E07000151",96.4,0.1,1.2,0.7,0.2,0.1,0.2,0.3,0.6,0.1
"ualad09:East Northamptonshire","E07000152",96.6,0.1,1.2,0.6,0.1,0.0,0.3,0.3,0.7,0.2
"ualad09:Kettering","E07000153",93.7,0.2,1.4,1.9,0.2,0.1,0.3,0.7,1.1,0.4
"ualad09:Northampton","E07000154",84.4,0.1,3.2,2.5,0.7,1.6,0.8,0.9,5.1,0.7
"ualad09:South Northamptonshire","E07000155",96.9,0.0,1.2,0.7,0.1,0.1,0.2,0.3,0.4,0.1
"ualad09:Wellingborough","E07000156",87.2,0.1,2.9,4.1,0.4,0.7,0.2,0.5,3.6,0.3
"ualad09:Ashfield","E07000170",97.7,0.0,0.9,0.3,0.1,0.1,0.2,0.3,0.4,0.1
"ualad09:Bassetlaw","E07000171",97.3,0.1,0.9,0.4,0.3,0.1,0.2,0.2,0.5,0.2
"ualad09:Broxtowe","E07000172",92.7,0.0,1.7,1.6,0.7,0.1,1.0,0.7,0.9,0.6
"ualad09:Gedling","E07000173",93.0,0.0,2.3,1.2,0.8,0.1,0.4,0.5,1.5,0.2
"ualad09:Mansfield","E07000174",97.2,0.0,1.1,0.5,0.1,0.2,0.2,0.2,0.4,0.1
"ualad09:Newark and Sherwood","E07000175",97.3,0.2,1.0,0.3,0.1,0.1,0.2,0.2,0.4,0.1
"ualad09:Rushcliffe","E07000176",93.1,0.0,1.8,2.1,1.0,0.0,0.5,0.5,0.6,0.4
"ualad09:Herefordshire, County of","E06000019",98.0,0.2,0.7,0.3,0.0,0.0,0.2,0.3,0.2,0.1
"ualad09:Shropshire","E06000051",97.9,0.1,0.7,0.2,0.1,0.1,0.3,0.3,0.2,0.1
"ualad09:Stoke-on-Trent","E06000021",88.6,0.1,1.8,0.9,4.2,0.4,0.5,1.4,1.5,0.7
"ualad09:Telford and Wrekin","E06000020",92.6,0.1,1.8,1.8,1.3,0.1,0.4,0.5,1.1,0.3
"ualad09:Cannock Chase","E07000192",97.7,0.0,0.9,0.4,0.1,0.0,0.2,0.2,0.3,0.1
"ualad09:East Staffordshire","E07000193",90.4,0.1,1.4,0.8,4.9,0.1,0.3,0.8,0.9,0.3
"ualad09:Lichfield","E07000194",96.8,0.0,1.0,0.9,0.2,0.1,0.2,0.3,0.5,0.1
"ualad09:Newcastle-under-Lyme","E07000195",94.9,0.0,1.2,0.8,0.4,0.1,0.8,0.8,0.7,0.3
"ualad09:South Staffordshire","E07000196",95.8,0.1,1.4,1.3,0.2,0.0,0.2,0.3,0.5,0.2
"ualad09:Stafford","E07000197",94.9,0.1,1.3,1.0,0.3,0.1,0.4,0.7,0.8,0.4
"ualad09:Staffordshire Moorlands","E07000198",98.6,0.0,0.6,0.1,0.1,0.0,0.1,0.2,0.1,0.1
"ualad09:Tamworth","E07000199",97.3,0.0,1.0,0.5,0.1,0.0,0.2,0.2,0.5,0.1
"ualad09:North Warwickshire","E07000218",97.8,0.1,0.8,0.6,0.1,0.0,0.1,0.2,0.3,0.1
"ualad09:Nuneaton and Bedworth","E07000219",91.3,0.1,1.1,4.6,0.4,0.0,0.2,1.0,0.8,0.4
"ualad09:Rugby","E07000220",90.3,0.2,2.0,3.1,0.6,0.1,0.4,1.0,2.0,0.3
"ualad09:Stratford-on-Avon","E07000221",97.2,0.1,1.0,0.5,0.1,0.0,0.3,0.4,0.2,0.2
"ualad09:Warwick","E07000222",89.1,0.0,2.0,4.9,0.3,0.1,0.8,1.1,0.7,0.9
"ualad09:Birmingham","E08000025",57.9,0.0,4.4,6.0,13.5,3.0,1.2,2.9,9.0,2.0
"ualad09:Coventry","E08000026",73.8,0.0,2.6,8.8,3.0,0.9,1.2,2.4,5.6,1.7
"ualad09:Dudley","E08000027",89.9,0.1,1.8,1.8,3.3,0.1,0.3,0.5,1.5,0.6
"ualad09:Sandwell","E08000028",69.9,0.0,3.3,10.2,4.5,2.1,0.3,2.1,6.0,1.6
"ualad09:Solihull","E08000029",89.1,0.0,2.1,3.4,1.7,0.3,0.4,0.7,1.6,0.6
"ualad09:Walsall","E08000030",78.8,0.1,2.7,6.1,5.3,1.9,0.4,1.5,2.4,0.8
"ualad09:Wolverhampton","E08000031",67.9,0.1,5.1,12.9,1.8,0.2,0.6,2.6,6.9,1.9
"ualad09:Bromsgrove","E07000234",95.7,0.1,1.5,1.2,0.2,0.0,0.3,0.3,0.5,0.2
"ualad09:Malvern Hills","E07000235",97.4,0.2,0.9,0.4,0.1,0.0,0.5,0.3,0.2,0.1
"ualad09:Redditch","E07000236",92.0,0.0,2.0,0.9,3.1,0.2,0.2,0.4,1.0,0.2
"ualad09:Worcester","E07000237",93.3,0.1,1.4,0.8,1.9,0.5,0.4,0.8,0.5,0.2
"ualad09:Wychavon","E07000238",97.5,0.4,0.8,0.4,0.1,0.1,0.2,0.3,0.2,0.1
"ualad09:Wyre Forest","E07000239",96.9,0.4,1.0,0.3,0.1,0.5,0.2,0.3,0.2,0.1
"ualad09:Bedford","E06000055",80.5,0.1,3.4,5.2,2.1,2.0,0.6,1.5,3.9,0.7
"ualad09:Central Bedfordshire","E06000056",93.7,0.2,1.9,1.0,0.2,0.1,0.6,0.7,1.4,0.3
"ualad09:Luton","E06000032",54.6,0.1,4.1,5.2,14.4,6.7,0.7,2.9,9.8,1.5
"ualad09:Peterborough","E06000031",82.2,0.3,2.7,2.5,6.6,0.1,0.5,2.0,2.3,0.8
"ualad09:Southend-on-Sea","E06000033",91.5,0.1,2.1,1.0,0.6,0.5,0.6,0.9,2.1,0.5
"ualad09:Thurrock","E06000034",85.7,0.2,2.0,1.4,0.3,0.4,0.5,1.0,7.8,0.6
"ualad09:Cambridge","E07000008",82.4,0.1,3.2,2.8,0.6,1.5,3.6,2.6,1.7,1.6
"ualad09:East Cambridgeshire","E07000009",96.0,0.3,1.4,0.4,0.1,0.1,0.3,0.5,0.6,0.3
"ualad09:Fenland","E07000010",96.7,0.5,0.9,0.4,0.1,0.1,0.2,0.4,0.5,0.2
"ualad09:Huntingdonshire","E07000011",94.7,0.1,1.5,0.7,0.6,0.2,0.3,0.7,1.0,0.3
"ualad09:South Cambridgeshire","E07000012",93.0,0.3,1.7,1.5,0.3,0.1,0.8,1.0,0.9,0.4
"ualad09:Basildon","E07000066",92.2,0.5,1.7,1.2,0.2,0.2,0.3,0.8,2.7,0.3
"ualad09:Braintree","E07000067",96.5,0.1,1.2,0.4,0.1,0.1,0.2,0.5,0.6,0.2
"ualad09:Brentwood","E07000068",93.4,0.2,1.6,1.3,0.2,0.2,0.5,1.0,1.2,0.4
"ualad09:Castle Point","E07000069",96.9,0.0,1.0,0.4,0.1,0.1,0.2,0.3,0.8,0.2
"ualad09:Chelmsford","E07000070",93.7,0.1,1.6,1.1,0.4,0.3,0.5,0.6,1.2,0.4
"ualad09:Colchester","E07000071",92.0,0.0,1.8,0.8,0.2,0.2,1.0,1.4,1.5,1.0
"ualad09:Epping Forest","E07000072",90.4,0.1,2.1,2.4,0.7,0.2,0.5,0.9,1.9,0.7
"ualad09:Harlow","E07000073",88.9,0.1,2.1,1.3,0.8,0.5,1.0,1.0,3.8,0.5
"ualad09:Maldon","E07000074",97.7,0.3,0.8,0.2,0.0,0.1,0.2,0.3,0.2,0.1
"ualad09:Rochford","E07000075",97.1,0.1,1.1,0.3,0.1,0.1,0.3,0.3,0.5,0.2
"ualad09:Tendring","E07000076",97.5,0.0,1.1,0.2,0.0,0.1,0.3,0.3,0.3,0.1
"ualad09:Uttlesford","E07000077",96.5,0.2,1.2,0.4,0.1,0.2,0.3,0.5,0.5,0.2
"ualad09:Broxbourne","E07000095",90.1,0.2,2.3,0.9,0.2,0.2,0.3,0.8,4.2,0.8
"ualad09:Dacorum","E07000096",90.7,0.2,2.1,1.6,1.4,0.2,0.5,0.9,2.1,0.3
"ualad09:East Hertfordshire","E07000242",95.4,0.0,1.6,0.7,0.2,0.2,0.4,0.5,0.7,0.3
"ualad09:Hertsmere","E07000098",84.9,0.2,2.6,3.7,0.5,0.2,0.9,2.1,3.9,1.0
"ualad09:North Hertfordshire","E07000099",89.5,0.0,2.7,2.7,0.3,0.4,0.6,1.3,2.0,0.5
"ualad09:St Albans","E07000240",88.3,0.1,2.8,1.6,0.8,1.9,0.8,1.3,1.7,0.7
"ualad09:Stevenage","E07000243",87.6,0.1,2.7,1.9,0.6,0.6,0.8,1.9,3.4,0.5
"ualad09:Three Rivers","E07000102",86.1,0.1,2.3,6.0,0.7,0.2,0.7,1.6,1.8,0.5
"ualad09:Watford","E07000103",71.9,0.1,3.4,5.5,6.7,0.4,0.9,4.4,5.8,0.9
"ualad09:Welwyn Hatfield","E07000241",83.9,0.1,2.5,3.2,0.7,0.4,1.7,1.9,4.5,1.0
"ualad09:Breckland","E07000143",97.3,0.2,1.2,0.2,0.1,0.1,0.2,0.3,0.5,0.1
"ualad09:Broadland","E07000144",97.7,0.0,0.9,0.3,0.0,0.1,0.2,0.3,0.3,0.2
"ualad09:Great Yarmouth","E07000145",96.8,0.1,1.2,0.5,0.1,0.0,0.2,0.4,0.5,0.3
"ualad09:King`s Lynn and West Norfolk","E07000146",97.1,0.2,0.9,0.5,0.1,0.0,0.3,0.4,0.4,0.2
"ualad09:North Norfolk","E07000147",98.6,0.0,0.6,0.1,0.0,0.1,0.1,0.2,0.2,0.1
"ualad09:Norwich","E07000148",90.7,0.1,2.3,1.3,0.2,0.4,1.3,1.3,1.6,0.8
"ualad09:South Norfolk","E07000149",97.4,0.1,1.0,0.3,0.1,0.0,0.3,0.3,0.3,0.1
"ualad09:Babergh","E07000200",97.8,0.1,0.9,0.2,0.0,0.1,0.2,0.3,0.3,0.2
"ualad09:Forest Heath","E07000201",91.7,0.2,2.9,0.5,0.2,0.2,0.2,1.0,2.2,0.9
"ualad09:Ipswich","E07000202",88.8,0.1,3.6,1.4,0.2,1.3,0.5,1.0,2.3,0.9
"ualad09:Mid Suffolk","E07000203",97.8,0.1,1.0,0.2,0.0,0.0,0.2,0.3,0.4,0.1
"ualad09:St Edmundsbury","E07000204",96.0,0.1,1.3,0.5,0.1,0.1,0.3,0.6,0.8,0.2
"ualad09:Suffolk Coastal","E07000205",96.5,0.0,1.2,0.6,0.1,0.1,0.4,0.4,0.4,0.2
