
"QS501UK - Highest level of qualification"
"ONS Crown Copyright Reserved [from Nomis on 28 May 2016]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"

"Area","mnemonic","No qualifications","Level 1 qualifications","Level 2 qualifications","Apprenticeship","Level 3 qualifications","Level 4 qualifications and above","Other qualifications"
"ualad09:Wiltshire","E06000054",70782,53242,65411,14616,48130,112067,15765
"ualad09:East Devon","E07000040",23597,14651,19009,4625,12708,32573,4839
"ualad09:Exeter","E07000041",18156,12467,13998,3165,18000,28291,4989
"ualad09:Mid Devon","E07000042",14323,8723,10796,2420,7648,16716,2574
"ualad09:North Devon","E07000043",18613,11157,13288,3663,9616,17732,3309
"ualad09:South Hams","E07000044",12047,8433,11361,3044,8456,23946,2581
"ualad09:Teignbridge","E07000045",22353,14007,17189,4632,12196,29014,4347
"ualad09:Torridge","E07000046",13550,7599,9320,2626,6434,11552,2240
"ualad09:West Devon","E07000047",9077,5767,7519,1740,5306,13410,1833
"ualad09:Christchurch","E07000048",9421,5509,6718,2110,4556,10132,1843
"ualad09:East Dorset","E07000049",15830,9897,12047,3884,8505,20364,3030
"ualad09:North Dorset","E07000050",11219,7989,10020,2312,7058,15137,2495
"ualad09:Purbeck","E07000051",8122,5401,6328,1891,4559,9687,1690
"ualad09:West Dorset","E07000052",16801,10494,13761,3674,9875,25691,3240
"ualad09:Weymouth and Portland","E07000053",12236,8094,9447,2804,7102,12207,2416
"ualad09:Cheltenham","E07000078",15904,10906,13778,3021,13216,34782,4401
"ualad09:Cotswold","E07000079",12758,8865,10957,2236,8225,23267,2830
"ualad09:Forest of Dean","E07000080",16664,9750,11416,3045,8128,16285,2659
"ualad09:Gloucester","E07000081",21247,15704,16831,4180,12832,21651,5086
"ualad09:Stroud","E07000082",16788,11898,14372,4296,11257,30324,3316
"ualad09:Tewkesbury","E07000083",12667,9251,11230,2932,8214,20329,2735
"ualad09:Mendip","E07000187",19054,12036,15180,3610,10697,24769,3536
"ualad09:Sedgemoor","E07000188",23534,13815,16048,4386,11103,20778,4258
"ualad09:South Somerset","E07000189",29089,18212,22503,6922,16481,33228,6190
"ualad09:Taunton Deane","E07000190",18510,11674,16101,3295,11068,25348,4113
"ualad09:West Somerset","E07000191",7403,4066,4989,1195,3189,7415,1587
"ualad09:Anglesey","W06000001",13991,7342,9406,2739,6887,15098,2427
"ualad09:Gwynedd","W06000002",23365,11889,16238,3783,14638,26673,4337
"ualad09:Conwy","W06000003",24577,12553,15472,3786,10841,24473,4400
"ualad09:Denbighshire","W06000004",19540,10723,12888,2929,8762,18615,3324
"ualad09:Flintshire","W06000005",29116,19076,21398,6031,15098,27791,5352
"ualad09:Wrexham","W06000006",29094,15195,17584,4292,12557,24851,5453
"ualad09:Powys","W06000023",27273,13850,18040,4223,12714,28991,4992
"ualad09:Ceredigion","W06000008",12824,6811,9676,2094,12451,18064,2772
"ualad09:Pembrokeshire","W06000009",24668,13695,16858,4323,11812,24849,4157
"ualad09:Carmarthenshire","W06000010",40334,19683,24748,6514,16832,36036,6616
"ualad09:Swansea","W06000011",47316,24405,30216,8472,27507,51081,8630
"ualad09:Neath Port Talbot","W06000012",35607,16557,18371,5856,12629,21636,4519
"ualad09:Bridgend","W06000013",32282,15932,18198,4748,12328,25699,4703
"ualad09:The Vale of Glamorgan","W06000014",20964,13210,17287,4287,12179,30527,4050
"ualad09:Cardiff","W06000015",58688,31039,36812,7882,43037,91522,14135
"ualad09:Rhondda, Cynon, Taff","W06000016",60403,26718,29749,6711,21714,37168,7653
"ualad09:Merthyr Tydfil","W06000024",16407,6832,7221,1755,4810,8493,2324
"ualad09:Caerphilly","W06000018",45102,21459,23361,5595,16154,26843,5311
"ualad09:Blaenau Gwent","W06000019",20662,9035,8879,2032,5644,8689,2380
"ualad09:Torfaen","W06000020",21329,11094,12052,3182,8267,14976,2933
"ualad09:Monmouthshire","W06000021",15521,9446,11531,2924,8107,24839,2712
"ualad09:Newport","W06000022",31454,16399,17834,4685,13203,27202,5571
"ualad09:Aberdeen City","S12000033",38459,41913,28688,-,18377,63221,-
"ualad09:Aberdeenshire","S12000034",48427,52539,28320,-,20880,55418,-
"ualad09:Angus","S12000041",26163,23744,12760,-,10431,22622,-
"ualad09:Argyll and Bute","S12000035",18234,16778,10946,-,6496,21277,-
"ualad09:Clackmannanshire","S12000005",12028,10751,5820,-,4278,9232,-
"ualad09:Dumfries and Galloway","S12000006",41563,31078,16771,-,9614,27134,-
"ualad09:Dundee City","S12000042",33208,28185,19238,-,12278,30655,-
"ualad09:East Ayrshire","S12000008",34507,24651,13793,-,10092,18125,-
"ualad09:East Dunbartonshire","S12000045",17181,16626,14035,-,8428,30042,-
"ualad09:East Lothian","S12000010",20368,20248,11607,-,6985,21881,-
"ualad09:East Renfrewshire","S12000011",13966,13369,12515,-,7214,25609,-
"ualad09:Edinburgh, City of","S12000036",69306,74970,62021,-,30544,167583,-
"ualad09:Eilean Siar","S12000013",6907,4735,3143,-,2144,6077,-
"ualad09:Falkirk","S12000014",34913,35315,18205,-,13345,25835,-
"ualad09:Fife","S12000015",79421,72730,43306,-,33776,71568,-
"ualad09:Glasgow City","S12000046",159162,98132,66685,-,44694,128945,-
"ualad09:Highland","S12000017",48624,46719,27454,-,17639,50298,-
"ualad09:Inverclyde","S12000018",22083,15550,8957,-,7786,13377,-
"ualad09:Midlothian","S12000019",19310,18471,9800,-,5776,14227,-
"ualad09:Moray","S12000020",20343,20088,10987,-,7520,17313,-
"ualad09:North Ayrshire","S12000021",35561,27532,15226,-,13011,22333,-
"ualad09:North Lanarkshire","S12000044",89946,69841,37626,-,28622,46810,-
"ualad09:Orkney Islands","S12000023",4997,3982,2605,-,1435,4704,-
"ualad09:Perth and Kinross","S12000024",28406,27391,17015,-,11780,36885,-
"ualad09:Renfrewshire","S12000038",40517,33344,20933,-,16159,33252,-
"ualad09:Scottish Borders","S12000026",26341,21481,13003,-,8182,25522,-
"ualad09:Shetland Islands","S12000027",4440,4918,2685,-,1674,4979,-
"ualad09:South Ayrshire","S12000028",26925,20828,13217,-,9704,23745,-
"ualad09:South Lanarkshire","S12000029",74908,61454,37829,-,27215,56940,-
"ualad09:Stirling","S12000030",15818,15179,12035,-,6479,24721,-
"ualad09:West Dunbartonshire","S12000039",24499,18852,10734,-,8296,12339,-
"ualad09:West Lothian","S12000040",36585,39481,19464,-,14142,29993,-
"ualad09:Antrim","95AA",10904,5097,6863,1873,4979,9828,1935
"ualad09:Ards","95BB",16755,8030,10318,3507,7747,14010,2446
"ualad09:Armagh","95CC",14021,5139,7072,1977,5411,10267,2308
"ualad09:Ballymena","95DD",16116,5540,7595,2357,5914,11263,2400
"ualad09:Ballymoney","95EE",8229,2914,3987,1165,2886,4521,906
"ualad09:Banbridge","95FF",10440,4525,5855,1689,4630,8924,1464
"ualad09:Belfast","95GG",69498,24585,28773,7444,30052,59536,8791
"ualad09:Carrickfergus","95HH",7992,4037,5074,1741,4108,7325,1132
"ualad09:Castlereagh","95II",12918,6086,7991,2553,6598,16304,1950
"ualad09:Coleraine","95JJ",13612,5347,7116,1734,6189,11646,1973
"ualad09:Cookstown","95KK",9667,3364,4359,1165,3356,5421,1387
"ualad09:Craigavon","95LL",22178,8503,11358,2767,8334,15311,4052
"ualad09:Derry","95MM",27285,9795,12316,2946,10294,18272,2755
"ualad09:Down","95NN",14199,6077,8802,2825,7006,13749,2088
"ualad09:Dungannon","95OO",13813,4769,6390,1617,5053,9415,3410
"ualad09:Fermanagh","95PP",15733,5725,7320,1714,5213,10353,2606
"ualad09:Larne","95QQ",7257,3247,4109,1574,3341,5422,1049
"ualad09:Limavady","95RR",9067,3079,4016,1131,3235,4753,1012
"ualad09:Lisburn","95SS",23658,11398,14760,4051,11629,24633,3496
"ualad09:Magherafelt","95TT",10871,3824,5198,1551,4152,7467,1398
"ualad09:Moyle","95UU",4254,1629,2058,622,1491,2997,552
"ualad09:Newry and Mourne","95VV",22655,8476,11239,3883,9143,16483,4083
"ualad09:Newtownabbey","95WW",17636,8451,10525,3271,9160,16248,2501
"ualad09:North Down","95XX",12963,7395,10323,2877,8370,20087,2407
"ualad09:Omagh","95YY",12560,4178,5900,1458,4419,9318,1856
"ualad09:Strabane","95ZZ",12570,3588,4253,970,3400,4991,1248




"-","These figures are missing."


"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"","be affected, particularly small counts at the lowest geographies"

